10.157.1.58 IRVINECORE01
10.157.1.54 IRVINECORE02
208.220.194.225 VZ-MPLS-CORE02
10.176.128.129 VZ-MPLS-CORE-LON
10.127.8.12 noimirxd01
10.127.8.14 noimirxd02
10.127.8.8 noimirxa250
10.127.8.10 noimirxa251
10.127.9.241 VZMPLSEdge01
10.157.10.19 EXtranet-FW
10.127.9.42 VZ-MPLS-CORE-IRV
10.176.128.1 ECLONEQXMP01A
10.176.128.2 ECLONEQXMP01A
10.140.1.32 ncscnjxc01a
10.140.1.33 ncscnjxc01b
10.140.2.1 NEWJERSEYCORE01
10.140.2.2 NEWJERSEYCORE02
10.127.8.5 ncimirxa01a
10.127.16.3 ncscnjxd01a
10.127.16.4 ncscnjxd01b
10.127.16.1 ncscnjxa250
10.127.16.2 ncscnjxa251
10.127.17.137 ATTMPLSEdge01
32.38.54.161 ATT-MPLS-CORE-NJ
32.38.54.165 ATT-MPLS-CORE02
10.176.128.229 ATT-MPLS-CORE-LON


